root_id,cell_type
720575940638665306,R1-6
720575940608824530,NA
720575940627020069,MTe02
720575940630349905,CB3502
720575940631162309,Mi15
720575940618265940,T5b
720575940625441684,C3
720575940618231133,R1-6
720575940627942010,WED094a
720575940625038517,CB3851
720575940620900113,NA
720575940630261010,SMP446b
720575940613921906,LPT31
720575940617135389,BM_vOcci_vPoOr
720575940620359606,LLPC2
720575940619788885,T5b
720575940627967101,Mi1
720575940637622629,TmY18
720575940611022819,CB0972
720575940627039006,L1
720575940629923031,TmY4
720575940635498871,NA
720575940660286337,T4d
720575940628600143,T2a
720575940627243052,TmY5a
720575940622380554,T5c
720575940622227550,NA
720575940616255500,Mi9
720575940622002928,NA
720575940621232237,Tm6
720575940639180963,CB2628
720575940626883453,C2
720575940631021220,CB2820
720575940637901540,NA
720575940614063331,MTe50
720575940616086411,CB1314
720575940628539304,Mi2
720575940615083183,TmY18
720575940639711347,Mi15
720575940649191289,Tm20
720575940605550112,T5c
720575940632435783,Tm2
720575940612083427,Tm4
720575940609263115,C2
720575940628349352,CB3846
720575940624334020,Dm8
720575940626634824,NA
720575940622789409,Mi4
720575940612455338,NA
720575940624879911,NA
720575940616572992,Mi1
720575940631324175,L3
720575940645721379,NA
720575940617750411,Tm2
720575940635223397,T4b
720575940618033894,CB3852
720575940623267208,T3
720575940611143266,T4c
720575940611769059,KCapbp-m
720575940644004206,Dm15
720575940625664899,MTe01
720575940635733172,CB2034
720575940622067113,NA
720575940617727435,KCab
720575940628259407,NA
720575940628741881,NA
720575940624688056,T3
720575940628312519,Tm12
720575940606855177,Tm20
720575940623520767,Dm3
720575940632360722,Tm6
720575940623537373,L2
720575940624050407,LC10e
720575940638595044,Dm21
720575940631072081,Mi15
720575940605105580,TmY20
720575940622774980,NA
720575940631843858,T1
720575940618242909,Dm2
720575940620589633,T3
720575940623088008,CB3816
720575940623755447,Tm5Y
720575940611059922,Mi9
720575940619412544,NA
720575940626315820,Tm4
720575940613338152,NA
720575940622976845,NA
720575940637464691,NA
720575940629654544,R1-6
720575940638027965,Tm9
720575940604381886,NA
720575940661193857,Tm5c
720575940626796905,T1
720575940627578306,NA
720575940625159882,TmY3
720575940637638889,T2
720575940602140862,T5b
720575940626199994,Mi9
720575940630959704,L1
720575940615409150,NA
720575940629558095,R1-6
720575940642495373,Mi4
720575940622472486,CB1253
720575940625107504,CB0067
720575940639684696,NA
720575940619509894,C3
720575940610991513,CB1449
720575940627089033,T2a
720575940621125921,CB2056
720575940608632075,TmY3
720575940642081243,NA
720575940614638442,T5b
720575940627330063,T5a
720575940628792655,Dm2
720575940611928213,Tm5Y
720575940610711250,NA
720575940622404212,L1
720575940611345331,NA
720575940604470956,DNge198
720575940612323025,NA
