root_id,cell_type,x,y,z
720575940632102159,R1-6,809360,80.82,80.6
720575940606543038,R1-6,855860,326.68,119.6
720575940638717929,R1-6,869564,470.04,180.8
720575940631006780,R1-6,831338,133.58,93.9
720575940621047461,R1-6,828958.6666666666,69.65333333333328,88.6
720575940634280417,R1-6,837552,501.48,103.4
720575940632594489,R1-6,855792,500.84,216.4
720575940626649381,R1-6,862096,297.3,142.8
720575940629428418,R1-6,807508,143.94,33.8
720575940616102918,R1-6,831296,12.12,157.6
720575940608024754,R1-6,874728,292.94,250.2
720575940620226776,R1-6,873400,475.52,306.8
720575940631487995,R1-6,799488,461.24,69.8
720575940620712528,R1-6,832076,240.56,20.2
720575940610880324,R8,841588,206.56,318
720575940616346015,R1-6,837080,23.18,173.2
720575940635768159,R1-6,840180,149.82,185.6
720575940615213822,R1-6,810688,362.38,60.8
720575940613315993,R1-6,874552,284.56,225
720575940619504507,R1-6,866984,233.82,316
720575940621875521,R1-6,840152,296.6,142
720575940626697264,R8,832592,326.32,347.6
720575940630763575,R1-6,870392,502.96,301.2
720575940632981073,R1-6,820200,396.98,60
720575940633278156,R1-6,866174,405.89,184.6
720575940647716148,R1-6,866676,109.84,432.2
720575940617918393,R8,812796,13.94,276.8
720575940606416230,R1-6,832324,254.22,116
720575940633390500,R8,829170,199.57,287.6
720575940627290626,R1-6,847652,271.12,108
720575940628139578,R1-6,814688,91.94,41.8
720575940621852326,R1-6,861472,180,195.4
720575940627285635,R1-6,830708,87.68,18.2
720575940623271389,R1-6,800204,466.76,48.2
720575940640382773,R1-6,866172,419.92,223
720575940635494810,R7,805382,430.65,315.4
720575940630199034,R1-6,823420,293.16,39
720575940625280235,R1-6,842804,297.18,119.6
720575940625880846,R7,816120,332.14,234.4
720575940632101963,R1-6,822604,486.12,33.8
720575940606221414,R1-6,873532,469.24,311
720575940628253690,R7,829400,22.22,338.8
720575940606383038,R1-6,809132,178.1,38.4
720575940628811594,R1-6,860916,115.14,265.2
720575940653193974,R1-6,867644,191.96,454
720575940633762003,R7,824004,35.02,292
720575940612134498,R1-6,826756,207.16,110.6
720575940628467985,R8,832020,408.96,223
720575940622895484,R1-6,843596,36.02,278.2
720575940625702926,R1-6,821364,476.7,93
720575940630004792,R8,826416,431.98,293.4
720575940618595585,R1-6,867408,446.78,204.8
720575940616860859,R7,839656,292.62,247.4
720575940623726435,R1-6,854000,294.04,125.4
720575940637459546,R1-6,814640,125.84,78.6
720575940615613855,R7,836104,192.1,346.4
720575940624210628,R1-6,814332,476.6,12.2
720575940617251670,R1-6,878560,269.8,318.2
720575940609468939,R1-6,810828,303.68,96.4
720575940606492350,R8,817336,66.72,307.2
720575940621450923,R1-6,882590,224.9,447.6
720575940616113158,R1-6,836092,2.54,160.6
720575940628299834,R7,824456,20.21,347.8
720575940622972705,R7,836776,483.46,232.2
720575940618508006,R8,817196,106.16,278.2
720575940618590209,R1-6,806256,433.58,13.4
720575940645760791,R1-6,826024,499.54,43
720575940639366470,R1-6,833160,396.94,39.6
720575940621707174,R7,843304,282.18,323.6
720575940647150883,R1-6,853372,171.76,180
720575940630369743,R1-6,826572,152.22,35.6
720575940624711933,R1-6,829504,41.08,80.2
720575940617895636,R1-6,878068,228.82,314.4
720575940639159012,R1-6,804068,220.88,95.6
720575940637611632,R1-6,859436,496.82,244.8
720575940617625883,R7,846216,164.8,249.8
720575940622501759,R1-6,873764,244.18,396.2
720575940615903082,R1-6,887624,284.32,388.8
720575940607573449,R1-6,871100,370.6,426.6
720575940617782233,R1-6,882596,353.18,301.8
720575940635628479,R1-6,841140,377.18,77.6
720575940626662693,R1-6,872348,91.18,493.8
720575940614614312,R1-6,821372,275.87,46.9
720575940636483252,R1-6,882704,184.28,394.8
720575940626386224,R1-6,821348,43.28,45
720575940637030007,R7,754768,170.72,200.4
720575940624616375,R8,837320,198.14,310.8
720575940623182156,R1-6,849282,129.9,124.2
720575940623462499,R1-6,870236,422.84,285.4
720575940631080822,R7,831448,164.44,297.6
720575940620105265,R7,829920,434.62,285.4
720575940625449971,R8,820956,34.4,355.4
720575940621956161,R7,840400,373.62,234.2
720575940647622964,R1-6,842232,165.18,166.4
720575940640285272,R8,749564,355.44,69.2
720575940615170302,R1-6,866640,360.08,421.2
720575940616486598,R8,831266,140.18,290.1
720575940614772399,R1-6,871960,110.18,416.4
720575940627945042,R8,825340,26.48,418.2
720575940623725773,R7,827184,68.32,297.6
720575940626945636,R1-6,850920,51.1,256.2
720575940619921822,R1-6,884792,272.46,412.6
720575940636701551,R1-6,866396,409.5,193
720575940618197433,R8,831044,184.14,277.8
720575940629920411,R1-6,845520,345.38,99.2
720575940639953205,R1-6,844324,197.76,155.6
720575940627896842,R1-6,868616,480.26,327.6
720575940633205668,R1-6,868184,440.5,307.2
720575940640732760,R1-6,872164,231,418.6
720575940606413344,R1-6,874872,337.14,456.6
720575940624033741,R1-6,798800,389.95333333333343,17.533333333333356
720575940623681293,R1-6,839600,232.98,184.6
720575940634350306,R1-6,852892,203.92,163.4
720575940629473323,R7,866476,486.6,350.6
720575940632617784,R1-6,832616,441.66,49
720575940631205420,R8,834084,91.46,377.4
720575940633169177,R8,816832,293,286
720575940628032778,R1-6,837804,397.14,70.6
720575940618589524,R1-6,813964,75.38,59.6
720575940632176426,R1-6,816532,122.73,29.2
720575940636397748,R8,837176,356.74,254.2
720575940630970531,R1-6,863988,412.08,417.6
720575940626847844,R1-6,870752,387.98,351.4
720575940615491734,R1-6,867448,235.44,238.2
720575940617533323,R8,826742,456.93,205.6
720575940624180232,R1-6,873548,136.28,376.8
720575940628826116,R8,834626,110.56,339
720575940633840685,R8,811600,6.4,275.6
720575940630868012,R1-6,864840,401.26,244
720575940632809795,R1-6,858780,351.94,125.4
720575940639793341,R1-6,854292,363.12,144
720575940633053521,R1-6,870544,357.56,218
720575940624326636,R1-6,849600,399.74,42.2
720575940616776134,R1-6,823096,328.92,67.4
720575940636563055,R1-6,867016,197.28,239
720575940623435959,R1-6,832164,99.94,87.6
720575940632339404,R1-6,810812,338.98,35.4
720575940622751145,R8,833304,178.92,302.2
720575940627995017,R1-6,862516,498.68,286
720575940621329755,R1-6,862100,506.98,350.4
720575940639957693,R1-6,831490,165.57,79.8
720575940635759258,R1-6,808732,149.44,64.8
720575940632306792,R1-6,851676,17.82,305.4
720575940624592391,R7,823164,48.64,339.2
720575940623581917,R8,821460,5.54,384.8
720575940615468987,R8,836956,267.76,359.8
720575940645617175,R8,836216,497.3,482.8
720575940618167185,R1-6,871212,364.76,437.4
720575940622734853,R1-6,848204,86.64,149
720575940621351558,R1-6,836736,54.02,127.8
720575940633915603,R1-6,845316,149.34,175.4
720575940625054727,R1-6,869624,240.48,427
